NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSSwitch,3,30,0,0,0,0,0,0
CSExprMemberAccess,1908,1908,0,0,82,82,0,0
CSFinally,8,56,0,0,0,0,0,0
CSBaseMemberAccess,13,13,0,0,0,0,0,0
CSTypeRef,1052,0,0,0,0,0,0,0
CSAssign,1362,1414,0,0,0,0,0,0
CSConstructor,14,238,0,0,0,0,0,0
CSOr,3,6,0,0,0,0,0,0
CSDotName,1953,1953,0,0,0,0,0,0
CSClass,42,1096,0,0,0,0,0,0
CSCatch,1,5,0,0,0,0,0,0
CSUsing,4,8,0,0,0,0,0,0
CSEnumMember,4,34,0,0,0,0,0,0
CSVarDeclarator,267,2379,0,0,0,0,0,0
CSPropInit,4,8,0,0,0,0,0,0
CSCondAccess,1,1,0,0,0,0,0,0
CSGenericName,27,198,0,0,0,0,0,0
CSVarInit,114,114,0,0,0,0,0,0
CSTypeConstraint,1,0,0,0,0,0,0,0
CSLocalVarStat,81,81,0,0,0,0,0,0
CSNewObject,605,1815,0,0,0,0,0,0
CSLtEq,3,6,0,0,0,0,0,0
CSTypeParamList,4,8,0,0,0,0,0,0
CSConst,1,12,0,0,0,0,0,0
CSTry,9,27,0,0,0,0,0,0
CSLiteral,1754,10662,0,0,0,0,0,0
CSBase,13,52,0,0,0,0,0,0
CSDec,1,2,0,0,0,0,0,0
CSInterpolation,15,30,0,0,0,0,0,0
CSGt,4,4,0,0,0,0,0,0
CSFor,3,21,0,0,0,0,0,0
CSLt,3,3,0,0,0,0,0,0
CSExprListElementInit,34,102,0,0,0,0,0,0
CSExprBody,4,12,0,0,0,0,0,0
CSSingleDesignation,4,25,0,0,0,0,0,0
CSRegularIpString,9,27,0,0,0,0,0,0
CSGet,69,207,0,0,0,0,0,0
CSAnd,37,74,0,0,0,0,0,0
CSElse,9,36,0,0,0,0,0,0
CSArgList,1141,2777,0,0,0,0,0,0
CSExpressionStat,1741,1741,0,0,0,0,0,0
CSArrayInitializer,11,45,0,0,0,0,0,0
CSGlobalAttributes,36,396,0,0,0,0,0,0
CSForInit,3,0,0,0,0,0,0,0
CSSemicolon,128,128,0,0,0,0,0,0
CSPPRegion,13,553,0,0,0,0,0,0
CSLocalVar,88,0,0,0,0,0,0,0
CSMemberBinding,1,1,0,0,0,0,0,0
CSParam,220,1137,0,0,0,0,0,0
CSExprElementInit,18,0,0,0,0,0,0,0
CSVarEvent,2,24,0,0,0,0,0,0
CSSet,66,205,0,0,0,0,0,0
CSArg,1274,12,0,0,0,0,0,0
CSDefault,2,14,0,0,0,0,0,0
CSNested,71,142,0,0,0,0,0,0
CSPropBody,69,138,0,0,0,0,0,0
CSBreak,8,48,0,0,0,0,0,0
CSExprElementAccess,37,0,0,0,0,0,0,0
CSArgName,4,38,0,0,0,0,0,0
CSNewArrayTypeArray,10,30,0,0,0,0,0,0
CSTypeOf,3,24,0,0,0,0,0,0
CSMinus,5,5,0,0,0,0,0,0
CSCond,7,14,0,0,0,0,0,0
CSAliasTypeRef,404,2011,0,0,0,0,0,0
CSAliasedQualifiedAccess,3,27,0,0,0,0,0,0
CSBlock,268,536,0,0,0,0,0,0
CSTypeParam,4,4,0,0,0,0,0,0
CSNegate,13,13,0,0,0,0,0,0
CSNotEql,27,54,0,0,0,0,0,0
CSCall,540,0,0,0,2,0,0,0
CSTypeArgList,46,107,0,0,0,0,0,0
CSAliasMemberAccess,15,15,0,0,0,0,0,0
CSCase,8,40,0,0,0,0,0,0
CSAttribute,45,0,0,0,0,0,0,0
CSReturn,46,322,0,0,0,0,0,0
CSSingleAccess,713,5424,0,0,0,0,0,0
CSGtEq,2,4,0,0,0,0,0,0
CSSwitchSection,8,0,0,0,0,0,0,0
CSCast,38,76,0,0,0,0,0,0
CSUsingNamespace,173,1038,0,0,0,0,0,0
CSMemberAccess,3910,34659,0,0,0,0,0,0
CSDefArg,4,4,0,0,0,0,0,0
CSInterface,1,31,0,0,0,0,0,0
CSDeclExpr,4,0,0,0,0,0,0,0
CSSimpleName,3195,22191,0,0,0,0,0,0
CSRankSpecifier,14,28,0,0,0,0,0,0
CSNot,17,17,0,0,0,0,0,0
CSAttrArg,44,0,0,0,0,0,0,0
CSDelegateDecl,1,33,0,0,0,0,0,0
CSAttrArgList,44,91,0,0,0,0,0,0
CSMethod,151,3713,0,0,0,0,0,0
CSThisMemberAccess,1878,1878,0,0,29,29,0,0
CSPlus,15,15,0,0,0,0,0,0
CSIf,59,236,0,0,0,0,0,0
CSEnum,1,31,0,0,0,0,0,0
CSInc,4,8,0,0,0,0,0,0
CSParamList,166,435,0,0,0,0,0,0
CSArrayTypeRef,14,0,0,0,0,0,0,0
CSWhile,2,14,0,0,0,0,0,0
CSNamespace,44,484,0,0,0,0,0,0
CSAliasedName,15,120,0,0,0,0,0,0
CSForeach,6,95,0,0,0,0,0,0
CSInterpolatedText,19,163,0,0,0,0,0,0
CSExprMemberInit,27,27,0,0,0,0,0,0
CSTypeSpec,2,4,0,0,0,0,0,0
CSVar,81,243,0,0,0,0,0,0
CSCompilationUnit,47,0,0,0,0,0,0,0
CSUsingClause,4,20,0,0,0,0,0,0
CSThis,1908,7632,0,0,0,0,0,0
CSEql,18,36,0,0,0,0,0,0
CSExceptionSpec,1,2,0,0,0,0,0,0
CSAs,17,34,0,0,0,0,0,0
CSDiv,1,1,0,0,0,0,0,0
CSPPEndRegion,13,130,0,0,0,0,0,0
CSTypeParamConstraints,1,7,0,0,0,0,0,0
CSEmValue,4,4,0,0,0,0,0,0
CSCollectionInit,10,67,0,0,0,0,0,0
CSAttrSection,9,18,0,0,0,0,0,0
CSField,176,1410,0,0,0,0,0,0
CSIndexList,37,74,0,0,0,0,0,0
CSProperty,69,991,0,0,0,0,0,0
CSTypeBase,20,21,0,0,0,0,0,0
CSMult,3,3,0,0,0,0,0,0
CSObjectInit,6,39,0,0,0,0,0,0
CSGenericMemberAccess,19,250,0,0,0,0,0,0
