NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSSwitch,3,30,0,0,0,0,0,0
CSExprMemberAccess,527,527,0,0,0,0,0,0
CSFinally,8,56,0,0,0,0,0,0
CSTypeRef,274,0,0,0,0,0,0,0
CSAssign,168,172,0,0,0,0,0,0
CSConstructor,13,221,0,0,0,0,0,0
CSOr,3,6,0,0,0,0,0,0
CSDotName,178,178,0,0,0,0,0,0
CSClass,26,691,0,0,0,0,0,0
CSCatch,1,5,0,0,0,0,0,0
CSUsing,4,8,0,0,0,0,0,0
CSEnumMember,4,34,0,0,0,0,0,0
CSVarDeclarator,104,680,0,0,0,0,0,0
CSPropInit,4,8,0,0,0,0,0,0
CSCondAccess,1,1,0,0,0,0,0,0
CSGenericName,27,198,0,0,0,0,0,0
CSVarInit,99,99,0,0,0,0,0,0
CSTypeConstraint,1,0,0,0,0,0,0,0
CSLocalVarStat,80,80,0,0,0,0,0,0
CSNewObject,55,165,0,0,0,0,0,0
CSLtEq,3,6,0,0,0,0,0,0
CSTypeParamList,4,8,0,0,0,0,0,0
CSConst,1,12,0,0,0,0,0,0
CSTry,9,27,0,0,0,0,0,0
CSLiteral,327,4020,0,0,0,0,0,0
CSDec,1,2,0,0,0,0,0,0
CSInterpolation,15,30,0,0,0,0,0,0
CSGt,4,4,0,0,0,0,0,0
CSFor,3,21,0,0,0,0,0,0
CSLt,3,3,0,0,0,0,0,0
CSExprListElementInit,34,102,0,0,0,0,0,0
CSExprBody,4,12,0,0,0,0,0,0
CSSingleDesignation,4,25,0,0,0,0,0,0
CSRegularIpString,9,27,0,0,0,0,0,0
CSGet,66,198,0,0,0,0,0,0
CSAnd,24,48,0,0,0,0,0,0
CSElse,9,36,0,0,0,0,0,0
CSArgList,337,785,0,0,0,0,0,0
CSExpressionStat,296,296,0,0,0,0,0,0
CSArrayInitializer,1,2,0,0,0,0,0,0
CSForInit,3,0,0,0,0,0,0,0
CSSemicolon,128,128,0,0,0,0,0,0
CSLocalVar,87,0,0,0,0,0,0,0
CSMemberBinding,1,1,0,0,0,0,0,0
CSParam,207,1020,0,0,0,0,0,0
CSExprElementInit,18,0,0,0,0,0,0,0
CSVarEvent,2,24,0,0,0,0,0,0
CSSet,65,202,0,0,0,0,0,0
CSArg,300,12,0,0,0,0,0,0
CSDefault,2,14,0,0,0,0,0,0
CSNested,10,20,0,0,0,0,0,0
CSPropBody,66,132,0,0,0,0,0,0
CSBreak,8,48,0,0,0,0,0,0
CSExprElementAccess,37,0,0,0,0,0,0,0
CSArgName,4,38,0,0,0,0,0,0
CSTypeOf,2,16,0,0,0,0,0,0
CSMinus,5,5,0,0,0,0,0,0
CSCond,7,14,0,0,0,0,0,0
CSAliasTypeRef,344,1760,0,0,0,0,0,0
CSBlock,222,444,0,0,0,0,0,0
CSTypeParam,4,4,0,0,0,0,0,0
CSNegate,6,6,0,0,0,0,0,0
CSNotEql,14,28,0,0,0,0,0,0
CSCall,288,0,0,0,0,0,0,0
CSTypeArgList,46,107,0,0,0,0,0,0
CSAliasMemberAccess,14,14,0,0,0,0,0,0
CSCase,8,40,0,0,0,0,0,0
CSReturn,43,301,0,0,0,0,0,0
CSSingleAccess,578,4378,0,0,0,0,0,0
CSGtEq,2,4,0,0,0,0,0,0
CSSwitchSection,8,0,0,0,0,0,0,0
CSCast,14,28,0,0,0,0,0,0
CSUsingNamespace,158,948,0,0,0,0,0,0
CSMemberAccess,819,7275,0,0,0,0,0,0
CSDefArg,4,4,0,0,0,0,0,0
CSInterface,1,31,0,0,0,0,0,0
CSDeclExpr,4,0,0,0,0,0,0,0
CSSimpleName,611,4687,0,0,0,0,0,0
CSRankSpecifier,4,8,0,0,0,0,0,0
CSNot,17,17,0,0,0,0,0,0
CSDelegateDecl,1,33,0,0,0,0,0,0
CSMethod,124,3053,0,0,0,0,0,0
CSThisMemberAccess,296,296,0,0,0,0,0,0
CSPlus,14,14,0,0,0,0,0,0
CSIf,45,180,0,0,0,0,0,0
CSEnum,1,31,0,0,0,0,0,0
CSInc,4,8,0,0,0,0,0,0
CSParamList,138,379,0,0,0,0,0,0
CSArrayTypeRef,4,0,0,0,0,0,0,0
CSWhile,2,14,0,0,0,0,0,0
CSNamespace,28,308,0,0,0,0,0,0
CSForeach,6,95,0,0,0,0,0,0
CSInterpolatedText,19,163,0,0,0,0,0,0
CSExprMemberInit,27,27,0,0,0,0,0,0
CSTypeSpec,2,4,0,0,0,0,0,0
CSVar,81,243,0,0,0,0,0,0
CSCompilationUnit,28,0,0,0,0,0,0,0
CSUsingClause,4,20,0,0,0,0,0,0
CSThis,296,1184,0,0,0,0,0,0
CSEql,18,36,0,0,0,0,0,0
CSExceptionSpec,1,2,0,0,0,0,0,0
CSAs,17,34,0,0,0,0,0,0
CSDiv,1,1,0,0,0,0,0,0
CSTypeParamConstraints,1,7,0,0,0,0,0,0
CSEmValue,4,4,0,0,0,0,0,0
CSCollectionInit,10,67,0,0,0,0,0,0
CSField,14,98,0,0,0,0,0,0
CSIndexList,37,74,0,0,0,0,0,0
CSProperty,66,922,0,0,0,0,0,0
CSTypeBase,19,20,0,0,0,0,0,0
CSMult,3,3,0,0,0,0,0,0
CSObjectInit,6,39,0,0,0,0,0,0
CSGenericMemberAccess,19,250,0,0,0,0,0,0
