LibraryElement, DeclaringType, EntityKind, Count, Status
System.Windows.Forms.Form.Margin,System.Windows.Forms.Form,Property,1,0
System.Windows.Forms.Form.MainMenuStrip,System.Windows.Forms.Form,Property,1,0
System.Windows.Forms.Form.TopLevel,System.Windows.Forms.Form,Property,1,0
System.Windows.Forms.Form.FormClosing,System.Windows.Forms.Form,Event,2,1
System.Windows.Forms.Form.Load,System.Windows.Forms.Form,Event,16,1
System.Windows.Forms.Form.MinimumSize,System.Windows.Forms.Form,Property,2,1
System.Windows.Forms.Form.MaximumSize,System.Windows.Forms.Form,Property,2,1
System.Windows.Forms.Form.MinimizeBox,System.Windows.Forms.Form,Property,2,1
System.Windows.Forms.Form.MaximizeBox,System.Windows.Forms.Form,Property,4,1
System.Windows.Forms.Form.Text,System.Windows.Forms.Form,Property,30,1
System.Windows.Forms.Form.BackColor,System.Windows.Forms.Form,Property,16,1
System.Windows.Forms.Form.ClientSize,System.Windows.Forms.Form,Property,22,1
System.Windows.Forms.Form.AutoScroll,System.Windows.Forms.Form,Property,4,1
System.Windows.Forms.Form.DialogResult,System.Windows.Forms.Form,Property,4,1
System.Windows.Forms.Form.FormBorderStyle,System.Windows.Forms.Form,Property,2,1
TKS.frmUser.lblEmail,TKS.frmUser,Field,8,1
TKS.frmUser.lblPassword,TKS.frmUser,Field,8,1
TKS.frmUser.lblId,TKS.frmUser,Field,8,1
TKS.frmUser.components,TKS.frmUser,Field,2,1
TKS.frmUser.ucOkCancel,TKS.frmUser,Field,11,1
TKS.frmUser.txtEmail,TKS.frmUser,Field,8,1
TKS.frmUser.txtPassword,TKS.frmUser,Field,9,1
TKS.frmUser.chkEmail,TKS.frmUser,Field,12,1
TKS.frmUser.chkPassword,TKS.frmUser,Field,12,1
TKS.frmUser.chkId,TKS.frmUser,Field,12,1
TKS.frmUser.txtId,TKS.frmUser,Field,9,1
TKS.frmUser.OnSave,TKS.frmUser,Field,1,1
TKS.frmUser,TKS.frmUser,Type,1,1
TKS.frmUser.frmUser_Load,TKS.frmUser,Method,1,1
TKS.frmUser.ucOkCancel2_OkClick,TKS.frmUser,Method,1,1
TKS.frmUser.txtPassword_TextChanged,TKS.frmUser,Method,1,1
TKS.frmUser.txtEmail_TextChanged,TKS.frmUser,Method,1,1
TKS.frmUser.txtId_TextChanged,TKS.frmUser,Method,1,1
TKS.frmUser.Save,TKS.frmUser,Method,3,1
TKS.frmUser.InitializeComponent,TKS.frmUser,Method,2,1
TKS_DB.DataHandler.GetListDataSource.T,TKS_DB.DataHandler.GetListDataSource.T,Type,3,1
TKS.frmUser.DataHandler,TKS.frmUser,Property,2,1
System.Collections.Generic.List`1.this[],System.Collections.Generic.List`1,Property,3,1
System.Collections.Generic.List`1.Count,System.Collections.Generic.List`1,Property,1,1
System.Collections.Generic.List`1,System.Collections.Generic.List`1,Type,8,1
