Element,Count,Status
System.Windows.Forms.DateTimePicker,3,1
System.Windows.Forms.GroupBox,3,1
System.Windows.Forms.LinkLabel,2,1
System.Windows.Forms.NumericUpDown,4,1
System.Windows.Forms.TabControl,1,1
System.Windows.Forms.UserControl,6,1
System.Windows.Forms.MenuStrip,1,1
System.Windows.Forms.Label,40,1
System.Windows.Forms.ComboBox,9,1
System.Windows.Forms.RadioButton,4,1
System.Windows.Forms.ListBox,4,1
System.Windows.Forms.TreeView,1,1
System.Windows.Forms.Form,11,1
System.Windows.Forms.TextBox,17,1
System.Windows.Forms.MaskedTextBox,1,1
System.Windows.Forms.ToolStripMenuItem,9,0
System.Windows.Forms.CheckBox,3,1
System.Windows.Forms.Panel,9,1
System.Windows.Forms.Button,26,1
System.ComponentModel.BackgroundWorker,1,0
System.Windows.Forms.DataGridView,4,1
